JobID|JobIDRaw|JobName|User|Partition|State|QOS|Priority|Reason|Flags|Submit|Eligible|Start|End|Elapsed|ElapsedRaw|Planned|PlannedCPURAW|ReqNodes|ReqCPUS|ReqMem|AllocNodes|AllocCPUS|AllocTRES|NTasks|Timelimit|TimelimitRaw|CPUTimeRAW|NodeList|ExitCode
250|250|sim_1|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T15:01:20|2026-06-17T15:01:20|2026-06-17T15:01:20|2026-06-17T15:13:56|00:12:36|756|00:00:00|0|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:13:00|13|2268|node[1-3]|0:0
251|251|sim_2|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T15:01:20|2026-06-17T15:01:20|2026-06-17T15:01:20|2026-06-17T15:10:54|00:09:34|574|00:00:00|0|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:10:00|10|574|node4|0:0
252|252|sim_3|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T15:01:20|2026-06-17T15:01:20|2026-06-17T15:13:56|2026-06-17T15:27:37|00:13:41|821|00:12:36|3024|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:56:00|56|3284|node[1-4]|0:0
253|253|sim_4|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T15:01:20|2026-06-17T15:01:20|2026-06-17T15:27:37|2026-06-17T15:39:26|00:11:49|709|00:26:17|3154|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:31:00|31|1418|node[1-2]|0:0
