JobID|JobIDRaw|JobName|User|Partition|State|QOS|Priority|Reason|Flags|Submit|Eligible|Start|End|Elapsed|ElapsedRaw|Planned|PlannedCPURAW|ReqNodes|ReqCPUS|ReqMem|AllocNodes|AllocCPUS|AllocTRES|NTasks|Timelimit|TimelimitRaw|CPUTimeRAW|NodeList|ExitCode
274|274|sim_1|ivan|debug|COMPLETED|normal|1|ReqNodeNotAvail|SchedMain,StartReceived|2026-06-18T11:46:06|2026-06-18T11:46:06|2026-06-18T11:47:31|2026-06-18T12:00:07|00:12:36|756|00:01:25|340|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||01:00:00|60|3024|node[1-4]|0:0
275|275|sim_2|ivan|debug|COMPLETED|normal|1|ReqNodeNotAvail|SchedMain,StartReceived|2026-06-18T11:46:06|2026-06-18T11:46:06|2026-06-18T12:00:07|2026-06-18T12:09:41|00:09:34|574|00:14:01|2523|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:23:00|23|1722|node[1-3]|0:0
276|276|sim_3|ivan|debug|COMPLETED|normal|1|ReqNodeNotAvail|SchedMain,StartReceived|2026-06-18T11:46:06|2026-06-18T11:46:06|2026-06-18T12:00:07|2026-06-18T12:13:48|00:13:41|821|00:14:01|841|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:30:00|30|821|node4|0:0
277|277|sim_4|ivan|debug|COMPLETED|normal|1|ReqNodeNotAvail|SchedMain,StartReceived|2026-06-18T11:46:06|2026-06-18T11:46:06|2026-06-18T12:26:31|2026-06-18T12:38:20|00:11:49|709|00:40:25|9700|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:19:00|19|2836|node[1-4]|0:0
278|278|sim_5|ivan|debug|COMPLETED|normal|1|ReqNodeNotAvail|SchedMain,StartReceived|2026-06-18T11:46:06|2026-06-18T11:46:06|2026-06-18T12:38:20|2026-06-18T12:44:02|00:05:42|342|00:52:14|9402|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:38:00|38|1026|node[1-3]|0:0
280|280|sim_7|ivan|debug|COMPLETED|normal|1|ReqNodeNotAvail|SchedMain,StartReceived|2026-06-18T11:46:06|2026-06-18T11:46:06|2026-06-18T15:00:23|2026-06-18T15:12:49|00:12:26|746|03:14:17|34971|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:40:00|40|2238|node[1-3]|0:0
281|281|sim_8|ivan|debug|COMPLETED|normal|1|ReqNodeNotAvail|SchedMain,StartReceived|2026-06-18T11:46:06|2026-06-18T11:46:06|2026-06-18T15:12:51|2026-06-18T15:25:33|00:12:42|762|03:26:45|37215|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:20:00|20|2286|node[1-3]|0:0
282|282|sim_9|ivan|debug|COMPLETED|normal|1|ReqNodeNotAvail|SchedBackfill,StartReceived|2026-06-18T11:46:06|2026-06-18T11:46:06|2026-06-18T12:10:10|2026-06-18T12:16:27|00:06:17|377|00:24:04|1444|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:10:00|10|377|node1|0:0
283|283|sim_10|ivan|debug|COMPLETED|normal|1|ReqNodeNotAvail|SchedMain,StartReceived|2026-06-18T11:46:06|2026-06-18T11:46:06|2026-06-18T15:25:33|2026-06-18T15:35:13|00:09:40|580|03:39:27|39501|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||01:00:00|60|1740|node[1-3]|0:0
284|284|sim_11|ivan|debug|COMPLETED|normal|1|ReqNodeNotAvail|SchedMain,StartReceived|2026-06-18T11:46:06|2026-06-18T11:46:06|2026-06-18T15:35:13|2026-06-18T15:44:12|00:08:59|539|03:49:07|54988|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||01:00:00|60|2156|node[1-4]|0:0
